date,ID,species,vol_taken,vol_diluted,vol_counted,count,count_per_ml,incubator,treat
11/08/17,B01,Didinium,2,0,2,0,0,182,const
11/08/17,B01,Rotifer,0.2,0,0.2,17,85,182,const
11/08/17,B01,Spirostomum,2,0,2,0,0,182,const
11/08/17,B02,Didinium,2,0,2,0,0,182,const
11/08/17,B02,Rotifer,0.2,0,0.2,19,95,182,const
11/08/17,B02,Spirostomum,2,0,2,0,0,182,const
11/08/17,B03,Didinium,2,0,2,1,0.5,182,const
11/08/17,B03,Rotifer,0.2,0,0.2,12,60,182,const
11/08/17,B03,Spirostomum,2,0,2,0,0,182,const
11/08/17,B04,Didinium,2,0,2,0,0,181,const
11/08/17,B04,Rotifer,0.2,0,0.2,12,60,181,const
11/08/17,B04,Spirostomum,2,0,2,0,0,181,const
11/08/17,B05,Didinium,2,0,2,0,0,181,const
11/08/17,B05,Rotifer,0.2,0,0.2,13,65,181,const
11/08/17,B05,Spirostomum,2,0,2,0,0,181,const
11/08/17,B06,Didinium,2,0,2,0,0,181,const
11/08/17,B06,Rotifer,0.2,0,0.2,9,45,181,const
11/08/17,B06,Spirostomum,2,0,2,0,0,181,const
11/08/17,B07,Didinium,2,0,2,2,1,180,const
11/08/17,B07,Rotifer,0.2,0,0.2,13,65,180,const
11/08/17,B07,Spirostomum,2,0,2,0,0,180,const
11/08/17,B08,Didinium,2,0,2,0,0,180,const
11/08/17,B08,Rotifer,0.2,0,0.2,23,115,180,const
11/08/17,B08,Spirostomum,2,0,2,0,0,180,const
11/08/17,B09,Didinium,2,0,2,0,0,180,const
11/08/17,B09,Rotifer,0.2,0,0.2,19,95,180,const
11/08/17,B09,Spirostomum,2,0,2,0,0,180,const
11/08/17,B10,Didinium,2,0,2,0,0,179,fluc
11/08/17,B10,Rotifer,0.2,0,0.2,17,85,179,fluc
11/08/17,B10,Spirostomum,2,0,2,0,0,179,fluc
11/08/17,B11,Didinium,2,0,2,10,5,179,fluc
11/08/17,B11,Rotifer,0.2,0,0.2,11,55,179,fluc
11/08/17,B11,Spirostomum,2,0,2,0,0,179,fluc
11/08/17,B12,Didinium,2,0,2,1,0.5,179,fluc
11/08/17,B12,Rotifer,0.2,0,0.2,19,95,179,fluc
11/08/17,B12,Spirostomum,2,0,2,0,0,179,fluc
11/08/17,B13,Didinium,2,0,2,0,0,178,fluc
11/08/17,B13,Rotifer,0.2,0,0.2,19,95,178,fluc
11/08/17,B13,Spirostomum,2,0,2,0,0,178,fluc
11/08/17,B14,Didinium,2,0,2,3,1.5,178,fluc
11/08/17,B14,Rotifer,0.2,0,0.2,26,130,178,fluc
11/08/17,B14,Spirostomum,2,0,2,0,0,178,fluc
11/08/17,B15,Didinium,2,0,2,0,0,178,fluc
11/08/17,B15,Rotifer,0.2,0,0.2,15,75,178,fluc
11/08/17,B15,Spirostomum,2,0,2,0,0,178,fluc
11/08/17,B16,Didinium,2,0,2,3,1.5,177,fluc
11/08/17,B16,Rotifer,0.2,0,0.2,22,110,177,fluc
11/08/17,B16,Spirostomum,2,0,2,0,0,177,fluc
11/08/17,B17,Didinium,2,0,2,0,0,177,fluc
11/08/17,B17,Rotifer,0.2,0,0.2,15,75,177,fluc
11/08/17,B17,Spirostomum,2,0,2,0,0,177,fluc
11/08/17,B18,Didinium,2,0,2,0,0,177,fluc
11/08/17,B18,Rotifer,0.2,0,0.2,10,50,177,fluc
11/08/17,B18,Spirostomum,2,0,2,0,0,177,fluc